名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
アールビバン,東証JQS,小売業,小売 ,6607,979,1020,-599,23317,12287,1656,5705,10036,52.7,-4.69,-2.56,15463816
JBイレブン,名証2部,小売業,小売 ,6637,148,150,40,4280,1183,662,2143,5794,27.6,3.43,0.93,7039900
テクノクオーツ,東証JQS,ガラス・土石製品,建設・資材 ,6651,723,822,551,9464,7143,829,1138,6107,75.5,7.91,6.1,7800000
ゼネラルパッカー,東証JQS,機械,機械 ,6651,293,297,188,6884,3388,251,857,3526,49.2,5.55,2.73,1798800
アイビー化粧品,東証JQS,化学,素材・化学 ,6664,1090,1099,606,6945,2518,804,1918,42159,36.3,22.38,9.62,5104000
ニッパンレンタル,東証JQS,サービス業,情報通信・サービスその他 ,6668,296,186,77,11391,1797,721,6148,1381,15.8,4.32,0.65,760252
ミクロン精密,東証JQS,機械,機械 ,6706,1186,1085,739,11376,9428,651,1268,9925,82.9,7.94,6.51,7706100
東天紅,東証1部,小売業,小売 ,6714,-154,-164,3,12959,10281,2572,766,6540,79.3,0.03,0.02,2572871
ヒロセ通商,東証JQS,証券、商品先物取引業,金融（除く銀行） ,6721,1529,1462,880,61511,5124,845,6383,13880,8.3,18.71,1.62,6224000
川崎地質,東証JQS,サービス業,情報通信・サービスその他 ,6737,126,183,64,6903,2910,819,2145,2581,42.2,2.19,0.91,5289900
サンウッド,東証JQS,不動産業,不動産 ,6759,131,20,170,12156,3506,1587,7689,2731,28.8,4.85,1.49,4894000
クリエアナブキ,東証JQS,サービス業,情報通信・サービスその他 ,6790,134,137,84,1926,881,243,125,2202,45.7,9.92,4.37,2340000
鉱研工業,東証JQS,機械,機械 ,6795,185,197,298,7475,3564,1165,1028,6252,47.7,8.63,4.01,8970111
マイネット,マザーズ,情報・通信業,情報通信・サービスその他 ,6801,500,410,882,10223,4020,1570,4920,12770,39.3,21.94,8.63,8108000
きょくとう,東証JQS,サービス業,情報通信・サービスその他 ,6803,361,446,94,5060,3685,555,300,3497,72.8,2.56,1.87,5551230
オンリー,東証1部,小売業,小売 ,6824,435,622,277,7329,5532,1079,487,4849,75.5,5.09,3.69,5972000
コーアツ工業,東証2部,建設業,建設・資材 ,6876,34,59,-68,9740,5934,1319,1473,2098,60.9,-1.13,-0.7,760000
セグエグループ,東証JQS,情報・通信業,情報通信・サービスその他 ,6881,218,286,162,3708,1546,483,183,12518,41.7,12.36,4.62,2806800
タカキタ,東証1部,機械,機械 ,6892,800,838,595,7466,5365,1350,230,8400,71.9,11.77,8.29,14000000
永大化工,東証JQS,化学,素材・化学 ,6912,176,189,150,8354,6302,1241,74,2650,75.4,2.4,1.84,7300000
ユニリタ,東証JQS,情報・通信業,情報通信・サービスその他 ,6941,1455,1555,1056,13624,10700,1330,5,14314,78.5,10.19,8.08,8500000
LCホールディングス,東証JQG,不動産業,不動産 ,6946,625,590,-284,28249,5039,1199,14146,7507,17.8,-5.43,-1.02,5560400
エムジーホーム,東証2部,不動産業,不動産 ,6965,514,502,409,6196,2060,1168,2204,2589,33.2,22.01,7.44,2906048
森尾電機,東証2部,電気機器,電機・精密 ,6986,265,260,151,8159,3568,1048,2435,3662,43.7,4.27,1.87,14250000
メディアフラッグ,マザーズ,サービス業,情報通信・サービスその他 ,6990,308,254,198,4395,946,297,2591,2881,21.5,23.64,3.98,4942494
ミライアル,東証1部,化学,素材・化学 ,6994,469,708,48,20081,15523,1111,1435,14259,77.3,0.31,0.25,10120000
石井鐵工所,東証1部,機械,機械 ,6996,341,300,199,17053,8901,1892,1300,6368,52.2,2.25,1.12,3784000
ぱど,東証JQG,サービス業,情報通信・サービスその他 ,6997,-311,-338,-561,3512,1018,1026,780,10756,29,-70.34,-16.54,19003115
KeePer技研,東証1部,サービス業,情報通信・サービスその他 ,6999,1015,1017,649,5789,3918,1345,610,18960,67.7,17.01,11.79,14086020
シリコンスタジオ,マザーズ,情報・通信業,情報通信・サービスその他 ,7001,-411,-428,-499,3860,2699,133,303,12869,69.9,-16.92,-11.6,2548300
フォーライフ,マザーズ,不動産業,不動産 ,7024,576,553,375,3400,2118,154,718,3060,62.3,20.46,11.71,1000000
エヌエフ回路設計ブロック,東証JQS,電気機器,電機・精密 ,7044,589,586,380,10806,7428,2000,1519,9653,68.7,5.22,3.56,6330000
No．1,東証JQS,卸売業,商社・卸売 ,7057,304,290,191,2993,1043,306,557,3163,34.8,23.51,6.96,1555900
グリーンランドリゾート,東証2部,サービス業,情報通信・サービスその他 ,7061,257,230,142,21738,10710,4180,7265,4356,49.3,1.33,0.65,10346683
ANAP,東証JQS,小売業,小売 ,7078,-60,-68,-20,3058,1226,297,1029,3123,40.1,-1.59,-0.6,4481000
グリムス,東証JQS,卸売業,商社・卸売 ,7109,752,802,505,5363,2916,599,1592,10283,54.4,18.79,9.9,3881800
ユニバーサル園芸社,東証JQS,サービス業,情報通信・サービスその他 ,7118,829,931,625,7428,6150,172,165,10130,82.8,10.66,8.45,5025000
フライングガーデン,東証JQS,小売業,小売 ,7145,299,312,188,3031,1387,579,404,4782,45.8,14.3,6.06,1449168
オプトエレクトロニクス,東証JQS,電気機器,電機・精密 ,7147,515,457,297,13896,5513,942,6592,5887,39.7,5.12,2.18,6578000
イデアインターナショナル,東証JQG,卸売業,商社・卸売 ,7205,401,334,295,4396,905,79,2500,14438,20.6,39.05,7.35,14717350
東葛ホールディングス,東証JQS,小売業,小売 ,7219,412,421,276,6315,3724,211,1420,2178,59,7.65,4.3,4840000
日住サービス,東証2部,不動産業,不動産 ,7227,377,378,395,9200,5201,1568,1961,4875,56.5,7.79,4.31,1989845
不二ラテックス,東証JQS,ゴム製品,自動車・輸送機 ,7230,550,507,392,9512,2858,643,3923,4180,30,14.64,4.33,12861992
ブイキューブ,東証1部,情報・通信業,情報通信・サービスその他 ,7239,36,-197,-527,10502,3613,2188,5085,12055,34.4,-13.35,-5.1,19381600
オートウェーブ,東証JQS,小売業,小売 ,7262,137,177,163,8852,2818,100,4023,1734,31.8,5.96,1.82,14451000
ハウスフリーダム,福岡Q,不動産業,不動産 ,7273,300,257,123,7818,1862,328,5052,2047,23.8,6.57,1.6,4110000
シーティーエス,東証1部,サービス業,情報通信・サービスその他 ,7284,1178,1130,799,8662,3620,425,1000,33734,41.8,23.18,9.54,44800000
ホリイフードサービス,東証JQS,小売業,小売 ,7292,61,44,-502,4717,2682,292,740,6118,56.9,-17.04,-9.77,5670000
アドバンスクリエイト,東証1部,保険業,金融（除く銀行） ,7295,954,926,582,6960,4562,2915,100,21393,65.5,12.43,8.13,10999100
ハチバン,東証JQS,小売業,小売 ,7312,427,546,565,5006,3421,1518,106,10554,68.3,14.43,10.13,3068111
山王,東証JQS,金属製品,建設・資材 ,7317,8,23,68,9057,5122,962,2557,6705,56.6,1.37,0.77,5000000
ティーライフ,東証1部,小売業,小売 ,7320,481,546,458,5430,4187,356,299,6163,77.1,11.31,8.46,4250000
アルテ サロン ホールディングス,東証JQS,サービス業,情報通信・サービスその他 ,7324,369,427,211,7393,2380,324,2684,4173,32.2,9.15,2.88,5330000
エッチ・ケー・エス,東証JQS,輸送用機器,自動車・輸送機 ,7336,477,436,382,11972,8241,878,1713,3496,68.8,4.64,3.34,4000000
医学生物学研究所,東証JQS,医薬品,医薬品 ,7348,85,64,188,10296,6966,4482,2183,13212,67.7,2.73,1.72,26059000
共和工業所,東証JQS,金属製品,建設・資材 ,7357,669,715,539,11634,9735,592,75,7269,83.7,5.75,4.91,6800000
オーエス,東証2部,サービス業,情報通信・サービスその他 ,7381,766,630,466,31393,9321,800,15735,11088,29.7,5.14,1.49,3200000
アビスト,東証1部,サービス業,情報通信・サービスその他 ,7387,1285,1293,862,5544,4073,1026,30,19363,73.5,23.04,16.6,3980000
グッドコムアセット,東証2部,不動産業,不動産 ,7393,929,868,563,5862,1814,91,3125,5139,30.9,36.49,9.3,3035600
ニレコ,東証JQS,電気機器,電機・精密 ,7401,537,572,368,14127,11715,3072,858,7292,82.9,3.2,2.69,8305249
キャリア,マザーズ,サービス業,情報通信・サービスその他 ,7415,417,417,263,1977,1023,154,123,17118,51.7,34.05,14.53,4301040
中広,東証1部,サービス業,情報通信・サービスその他 ,7425,489,488,349,3737,1884,404,726,5776,50.4,20,9.69,7044000
コスモ・バイオ,東証JQS,卸売業,商社・卸売 ,7427,514,483,254,7934,6135,918,20,7856,77.3,4.2,3.23,6048000
アルファ,東証JQS,サービス業,情報通信・サービスその他 ,7450,205,211,-44,5177,2351,409,803,1968,45.4,-1.87,-0.85,9154442
明星電気,東証2部,電気機器,電機・精密 ,7458,-247,-245,-394,10621,5366,2996,816,14209,50.5,-6.99,-3.6,132796338
フィンテック グローバル,マザーズ,その他金融業,金融（除く銀行） ,7485,-1031,-1369,-1384,10975,6261,4548,3734,18299,57,-19.65,-12.07,161935300
堀田丸正,東証2部,卸売業,商社・卸売 ,7488,86,108,86,4460,2821,1975,257,24274,63.3,2.93,1.82,59640348
明豊エンタープライズ,東証JQS,不動産業,不動産 ,7496,675,536,747,8495,3032,100,4694,9001,35.7,28.15,10.5,24661000
じげん,マザーズ,情報・通信業,情報通信・サービスその他 ,7534,2483,2475,1473,14116,6595,1213,4974,91982,46.7,28.78,12.83,55311000
タツミ,東証JQS,輸送用機器,自動車・輸送機 ,7541,408,383,246,8742,3821,715,2058,2472,43.7,6.42,3.01,6000000
ZOA,東証JQS,小売業,小売 ,7542,155,160,105,3867,2046,331,922,1851,52.9,4.95,2.34,2296500
ネポン,東証2部,金属製品,建設・資材 ,7544,269,252,147,6802,2070,601,1862,2586,30.4,7.36,2.22,12028480
東京自働機械製作所,東証2部,機械,機械 ,7567,207,351,266,8951,3779,954,1017,2396,42.2,7.37,2.84,14520000
アイドママーケティングコミュニケーション,東証1部,情報・通信業,情報通信・サービスその他 ,7574,838,822,564,4399,3023,513,76,9167,68.7,20.19,13.45,13520000
IGポート,東証JQS,情報・通信業,情報通信・サービスその他 ,7589,520,541,228,10205,4719,781,393,9625,46.2,4.94,2.52,5055400
JEUGIA,東証2部,小売業,小売 ,7644,96,88,31,5449,2263,957,1696,1332,41.5,1.37,0.57,8272500
銀座ルノアール,東証JQS,小売業,小売 ,7646,296,327,193,6776,5592,771,80,5577,82.5,3.5,2.87,6252004
ソフトブレーン,東証1部,情報・通信業,情報通信・サービスその他 ,7719,1014,1013,657,5355,3401,826,296,12784,63.5,21.4,13.47,30955000
アルデプロ,東証2部,不動産業,不動産 ,7733,820,-939,47,31438,4065,550,23183,33041,12.9,1.07,0.19,277657459
システムズ・デザイン,東証JQS,情報・通信業,情報通信・サービスその他 ,7783,139,153,43,5725,3776,333,215,3191,66,1.14,0.78,3940000
アサカ理研,東証JQS,非鉄金属,鉄鋼・非鉄 ,7790,224,189,227,5759,2527,504,2256,4414,43.9,9.33,4.03,2572300
アバールデータ,東証JQS,電気機器,電機・精密 ,7797,906,933,685,11742,8892,2354,24,14316,75.7,8.04,6.08,7417842
高橋カーテンウォール工業,東証JQS,建設業,建設・資材 ,7801,1180,1204,1527,11274,6825,100,1950,6047,60.5,24.4,13.17,9553011
暁飯島工業,東証JQS,建設業,建設・資材 ,7818,677,681,458,7285,3209,1408,1469,2651,44,15.1,6.5,2200000
サンユー建設,東証JQS,建設業,建設・資材 ,7820,678,701,484,12377,9682,310,300,3888,78.2,5.11,4.09,4000000
日本ルツボ,東証2部,ガラス・土石製品,建設・資材 ,7823,377,406,290,9772,3939,704,2729,3100,40.3,7.63,3.09,14090400
シグマ光機,東証JQS,精密機器,電機・精密 ,7846,912,1036,746,15077,12133,2623,367,11022,80.5,6.28,5.07,7811728
浅香工業,東証2部,その他製品,情報通信・サービスその他 ,7879,27,45,22,5585,2723,829,1028,1981,48.8,0.83,0.39,10370800
東栄リーファーライン,東証JQS,海運業,運輸・物流 ,7885,618,649,454,11845,4796,890,5072,2535,40.5,9.76,3.79,6050000
セコニックホールディングス,東証2部,機械,機械 ,7887,305,177,158,8468,5310,1609,1181,2421,62.7,3.06,1.85,1880000
フレンドリー,東証2部,小売業,小売 ,7890,-153,-144,-356,4773,1034,4175,2681,2965,21.7,-29.62,-7.06,13599281
タカトリ,東証2部,機械,機械 ,7918,169,335,261,8086,4707,963,1062,4541,58.2,5.67,3.25,5491490
興研,東証JQS,その他製品,情報通信・サービスその他 ,7936,634,554,388,16504,8944,674,5726,9458,54.2,4.37,2.37,5104003
日東化工,東証2部,ゴム製品,自動車・輸送機 ,7949,315,304,330,6142,2366,1920,1749,3418,38.5,15,5.12,38400000
カルラ,東証JQS,小売業,小売 ,7959,183,193,45,6186,3146,1238,2298,2770,50.9,1.43,0.72,6021112
アゴーラ・ホスピタリティー・グループ,東証1部,サービス業,情報通信・サービスその他 ,7961,258,162,450,15935,8103,11450,4063,9860,50.9,5.71,2.72,281708934
ミナトホールディングス,東証JQS,電気機器,電機・精密 ,7981,119,71,11,6679,2153,962,3637,3917,32.2,0.54,0.22,36603832
増田製粉所,東証2部,食料品,食品 ,8000,463,531,331,7657,4309,500,1798,3680,56.3,7.99,4.32,10000000
NITTOH,名証2部,建設業,建設・資材 ,8004,360,386,269,4596,2945,186,50,2205,64.1,9.49,5.93,4060360
鉄人化計画,東証2部,サービス業,情報通信・サービスその他 ,8025,107,183,-349,7540,1593,743,4785,2575,21.1,-19.26,-4.09,6687200
日本精密,東証JQS,精密機器,電機・精密 ,8072,-357,-480,-339,6591,2250,1868,3338,2834,34.1,-14.24,-5.01,18768999
スーパーツール,東証JQS,金属製品,建設・資材 ,8086,787,702,463,12038,8199,1898,1147,4589,68.1,5.78,3.94,10405480
エヌアイシ・オートテック,東証JQS,非鉄金属,鉄鋼・非鉄 ,8088,832,833,551,7214,4157,156,100,12227,57.6,14.09,8.54,5500000
和弘食品,東証JQS,食料品,食品 ,8094,78,63,-55,7162,4043,1413,1259,2810,56.5,-1.34,-0.79,9493193
日本パワーファスニング,東証2部,金属製品,建設・資材 ,8102,140,33,3,10277,3730,2550,4065,3513,36.3,0.08,0.03,18688540
昭和化学工業,東証2部,化学,素材・化学 ,8114,635,775,462,11127,4266,598,4266,5163,38.3,11.61,4.23,11979000
タクミナ,東証2部,機械,機械 ,8115,934,989,700,10024,5722,892,846,15388,57.1,12.76,7.14,7728540
CEホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,8125,170,222,113,5079,3745,1136,262,4748,73.7,3.01,2.17,3703700
ミサワ,東証1部,小売業,小売 ,8147,-179,-215,-416,4220,1379,380,1530,3199,32.7,-26.37,-10.05,7109400
平賀,東証JQS,その他製品,情報通信・サービスその他 ,8170,352,383,247,5082,2380,434,410,1911,46.8,10.92,4.87,4015585
KTC,東証2部,金属製品,建設・資材 ,8192,668,681,452,13074,9170,1032,1029,5042,70.1,5.04,3.49,12387178
サンワカンパニー,マザーズ,小売業,小売 ,8202,298,279,151,4124,1838,391,1031,6568,44.6,8.22,3.66,15981000
ムラキ,東証JQS,卸売業,商社・卸売 ,8218,-148,-138,-195,4670,2126,1910,1117,1691,45.5,-8.72,-4.06,14700000
ダイサン,東証2部,サービス業,情報通信・サービスその他 ,8259,722,736,480,7939,6457,566,41,6430,81.3,7.62,6.03,7618000
レノバ,マザーズ,電気・ガス業,電力・ガス ,8265,2794,1845,2023,53915,6714,1953,40402,21600,12.5,37.84,3.83,18383100
SDエンターテイメント,東証JQS,サービス業,情報通信・サービスその他 ,8281,188,52,20,10448,2313,227,5759,10338,22.1,0.9,0.2,8997000
リベレステ,東証JQS,不動産業,不動産 ,8289,1070,1054,872,16384,10813,2000,4218,10527,66,8.22,5.29,11990000
協立エアテック,東証JQS,金属製品,建設・資材 ,8292,572,605,437,10046,5004,1683,1800,4050,49.8,8.97,4.42,6000000
サイボー,東証2部,繊維製品,素材・化学 ,8300,822,988,824,28067,14745,1402,1988,6776,52.5,5.78,2.97,14000000
CDS,東証1部,サービス業,情報通信・サービスその他 ,8327,1028,1030,581,6335,4653,940,315,8704,73.4,12.92,9.27,6924400
東京コスモス電機,東証2部,電気機器,電機・精密 ,8340,431,129,87,11959,3571,1277,4024,4538,29.9,2.47,0.81,15812500
リニカル,東証1部,サービス業,情報通信・サービスその他 ,8355,2128,2076,1447,8300,4096,214,1072,37580,49.3,40.69,18.77,24740000
京極運輸商事,東証JQS,陸運業,運輸・物流 ,8359,178,223,156,7349,3282,160,1500,1334,44.7,4.98,2.21,3200000
赤阪鐵工所,東証2部,機械,機械 ,8364,293,334,233,12380,8307,1510,627,2988,67.1,2.86,1.92,15400000
フジコピアン,東証2部,その他製品,情報通信・サービスその他 ,8369,321,217,184,17849,9612,4791,4920,3158,53.9,1.93,1.02,1789487
ドリコム,マザーズ,情報・通信業,情報通信・サービスその他 ,8388,932,844,814,6819,3202,1694,1166,40239,47,35.44,16.09,28742000
日本出版貿易,東証JQS,卸売業,商社・卸売 ,8390,77,68,38,6043,1434,430,1133,1113,23.7,2.62,0.61,7000000
大研医器,東証1部,精密機器,電機・精密 ,8399,1711,1714,1246,11007,7274,495,1389,24803,66.1,18.08,11.79,31840000
JESCOホールディングス,東証2部,建設業,建設・資材 ,8416,273,273,247,8675,2080,914,3326,2922,24,15.87,3.16,6338900
ヤマシナ,東証2部,金属製品,建設・資材 ,8427,427,458,441,14155,9783,90,1393,10340,69.1,4.58,3.14,143611765
ケアサービス,東証JQG,サービス業,情報通信・サービスその他 ,8435,234,289,156,2811,1321,205,561,4956,47,12.27,5.48,2100000
ニッキ,東証2部,輸送用機器,自動車・輸送機 ,8439,501,584,492,12911,6505,500,2479,4550,50.4,7.76,3.79,10000000
東洋電機,名証2部,電気機器,電機・精密 ,8452,362,423,288,10362,5464,1037,1857,4671,52.7,5.34,2.78,4694475
ランシステム,東証JQS,サービス業,情報通信・サービスその他 ,8466,94,101,-226,5460,1725,803,2473,1853,31.6,-12.05,-4.39,2070900
Hamee,東証1部,小売業,小売 ,8502,1106,1048,695,4240,2697,528,467,31501,63.6,29.64,19.16,15917600
ジェイエスエス,東証JQS,サービス業,情報通信・サービスその他 ,8514,567,538,341,5938,2265,330,1726,3978,38.1,16.15,6.09,4026056
東亜バルブエンジニアリング,東証2部,機械,機械 ,8520,247,295,231,10794,7076,1739,927,3380,65.6,3.27,2.07,2678600
ありがとうサービス,東証JQS,小売業,小売 ,8524,390,401,233,4745,1886,547,1615,2709,39.7,12.83,5.16,953600
ベリテ,東証2部,小売業,小売 ,8537,293,277,260,8197,5598,3972,1100,5392,68.3,4.69,3.15,27230825
富士ソフトサービスビューロ,東証JQS,サービス業,情報通信・サービスその他 ,8546,270,284,209,3580,1757,354,182,3128,49.1,12.48,6.37,2250000
バッファロー,東証JQS,小売業,小売 ,8556,183,236,-17,6211,4359,510,572,1909,70.2,-0.39,-0.28,2097533
キャリアデザインセンター,東証1部,サービス業,情報通信・サービスその他 ,8569,1005,1009,674,4401,2766,558,204,11696,62.8,26.43,16.1,7054400
ジオマテック,東証JQS,電気機器,電機・精密 ,8598,145,224,-2266,30901,16277,4043,2029,9281,52.7,-12.89,-7.45,9152400
アイル,東証JQG,情報・通信業,情報通信・サービスその他 ,8621,432,455,299,5565,2155,354,851,8208,38.7,14.76,5.67,6260714
セフテック,東証JQS,卸売業,商社・卸売 ,8622,440,421,270,9578,4169,886,3301,2610,43.5,6.62,2.87,5000000
昭和真空,東証JQS,機械,機械 ,8640,938,898,710,11787,7292,2177,611,12433,61.9,10.03,6.01,6499000
旭松食品,東証2部,食料品,食品 ,8661,220,254,224,9261,6434,1617,947,3866,69.5,3.54,2.42,9382943
LITALICO,東証1部,サービス業,情報通信・サービスその他 ,8729,669,650,419,4144,1736,334,1260,27930,41.9,27.53,10.8,17445400
フリージア・マクロス,東証2部,機械,機械 ,8744,594,574,879,19743,6184,2077,6009,11726,31.3,15.02,4.57,450993208
ジャパンエンジンコーポレーション,東証2部,輸送用機器,自動車・輸送機 ,8749,-466,-464,-464,10717,4368,2215,2001,4256,40.8,-10.07,-4.14,28000000
三ッ星,東証JQS,非鉄金属,鉄鋼・非鉄 ,8762,505,483,358,9139,4662,1136,1893,2464,51,8.01,3.87,6333276
三機サービス,東証1部,サービス業,情報通信・サービスその他 ,8777,538,533,360,3472,1697,383,219,7233,48.9,23.08,10.96,5589285
ショクブン,東証2部,小売業,小売 ,8791,192,147,101,8439,2051,1148,5221,5537,24.3,4.95,1.22,11856669
大宝運輸,名証2部,陸運業,運輸・物流 ,8812,314,339,232,7825,5812,1140,262,2914,74.3,4.06,2.92,756000
タカセ,東証JQS,陸運業,運輸・物流 ,8830,-115,-142,-410,9190,5940,2133,1730,2077,64.6,-6.64,-4.45,10545133
きちり,東証1部,小売業,小売 ,8845,318,317,170,4426,1829,381,1559,7385,41.3,9.96,4.03,10550400
RS Technologies,東証1部,金属製品,建設・資材 ,8849,1557,1450,869,10859,3535,629,5147,45594,32.6,28.15,8.44,11134000
ナンシン,東証JQS,輸送用機器,自動車・輸送機 ,8853,1015,1119,802,13400,9923,1696,500,4725,74.1,8.43,6.09,7708000
日本エアーテック,東証1部,機械,機械 ,8858,396,514,331,14016,9153,1501,769,7375,65.3,3.64,2.41,9060500
メタップス,マザーズ,サービス業,情報通信・サービスその他 ,8886,-310,-553,-817,16910,7008,4663,1998,42684,41.4,-10.89,-6.24,12974010
カネヨウ,東証2部,卸売業,商社・卸売 ,8890,160,126,144,4571,1203,703,1008,2208,26.3,12.83,3.02,14066208
スパークス・グループ,東証JQS,証券、商品先物取引業,金融（除く銀行） ,8907,3169,3179,2346,23541,15695,8581,5000,43170,66.7,15.67,10.61,209562300
ニッカトー,東証1部,ガラス・土石製品,建設・資材 ,8919,667,703,477,13644,9855,1320,656,7476,72.2,5,3.62,12135695
フジコー,東証JQS,繊維製品,素材・化学 ,8926,176,271,179,12960,9319,1716,929,3250,71.9,1.94,1.39,5000000
特殊電極,東証JQS,金属製品,建設・資材 ,8939,585,599,477,7678,3998,484,90,3044,52.1,12.61,6.5,801000
オービス,東証JQS,その他製品,情報通信・サービスその他 ,8957,579,547,523,10058,2300,684,5700,2078,22.9,25.59,5.57,1732000
ブラス,東証1部,サービス業,情報通信・サービスその他 ,8966,818,792,495,8462,3153,534,3491,5903,37.3,17.33,6.31,5709300
セキド,東証2部,小売業,小売 ,8970,-868,-925,-1613,4237,735,2979,2115,1258,17.3,-104.98,-31.9,14804289
鶴弥,東証2部,ガラス・土石製品,建設・資材 ,8975,518,513,336,17021,11344,2144,3225,3752,66.6,3,1.95,7767800
日本ギア工業,東証2部,機械,機械 ,9015,1062,1065,686,10823,7496,1388,435,7354,69.3,9.57,6.48,14280000
高砂鐵工,東証2部,鉄鋼,鉄鋼・非鉄 ,9032,422,374,428,7942,2317,1504,1495,3098,29.2,20.36,5.36,30080000
ダブル・スコープ,東証1部,電気機器,電機・精密 ,9048,2370,2479,1945,30394,20609,7633,8045,75768,67.8,11.8,8.2,31141600
ケミプロ化成,東証2部,化学,素材・化学 ,9050,452,357,301,14400,4223,2155,6410,7298,29.3,7.38,2.13,16623613
カネミツ,東証2部,輸送用機器,自動車・輸送機 ,9061,1007,967,767,12751,7971,551,1429,6845,62.5,10.01,6.26,5119477
日本製罐,東証2部,金属製品,建設・資材 ,9102,106,196,949,13759,4499,738,4063,1754,32.7,21.09,6.9,13920000
マナック,東証2部,化学,素材・化学 ,9112,304,265,318,12381,9164,1757,1148,4287,74,3.53,2.59,8625000
まんだらけ,東証2部,小売業,小売 ,9172,688,616,361,14414,5931,837,7503,4703,41.1,6.27,2.54,7236000
オーケー食品工業,東証JQS,食料品,食品 ,9174,257,277,304,7813,2266,1859,3496,4610,29,14.56,3.97,37181410
アゼアス,東証2部,卸売業,商社・卸売 ,9174,168,179,129,7525,5140,887,355,3566,68.3,2.5,1.69,6085401
ヤマダコーポレーション,東証2部,機械,機械 ,9218,862,834,538,10712,7324,600,604,5700,68.4,7.53,5.07,12000000
スノーピーク,東証1部,その他製品,情報通信・サービスその他 ,9222,853,805,485,8299,4426,99,2088,19649,53.3,11.42,6.41,7040000
エスプール,東証JQS,サービス業,情報通信・サービスその他 ,9236,507,496,408,3717,1035,351,1204,9189,27.8,48.23,12.79,3153400
メック,東証1部,化学,素材・化学 ,9259,1887,1888,1642,17993,13110,594,1750,37091,72.9,12.95,9.74,20071093
博展,東証JQG,サービス業,情報通信・サービスその他 ,9268,-253,-262,-369,5257,883,174,2867,2510,16.8,-34.75,-7.6,3855200
ウェッジホールディングス,東証JQG,その他金融業,金融（除く銀行） ,9294,3291,3096,583,50142,10736,3891,22962,19051,21.4,6.5,1.35,35477600
サダマツ,東証JQS,小売業,小売 ,9297,216,154,29,7070,1385,743,3429,2619,19.6,2.04,0.41,11387000
セーラー広告,東証JQS,サービス業,情報通信・サービスその他 ,9302,168,184,80,4573,1858,294,755,2176,40.6,4.42,1.75,6078000
サイバーリンクス,東証1部,情報・通信業,情報通信・サービスその他 ,9310,582,588,333,5419,3409,787,552,7095,62.9,10.17,6.29,4842755
ソースネクスト,東証1部,情報・通信業,情報通信・サービスその他 ,9340,1573,1593,1070,9873,5350,1771,1940,16215,54.2,20.95,13.44,31732000
TOKYO BASE,東証1部,小売業,小売 ,9356,1290,1266,856,5113,2676,263,577,79542,52.3,38.12,21.66,13550600
ニッチツ,東証2部,機械,機械 ,9360,433,472,179,16147,11488,1100,1506,4643,71.1,1.57,1.11,21300000
石井表記,東証2部,機械,機械 ,9406,593,416,483,12273,1776,300,5734,10793,14.5,23.89,4.09,8176452
双信電機,東証1部,電気機器,電機・精密 ,9421,-168,-123,-968,13511,10030,3806,102,6552,74.2,-9.27,-7.13,15600000
エヌジェイホールディングス,東証JQS,情報・通信業,情報通信・サービスその他 ,9427,-358,-366,-632,5285,2445,592,756,11263,46.3,-22.83,-10.86,2675200
日建工学,東証2部,サービス業,情報通信・サービスその他 ,9490,128,110,60,7017,2366,1004,945,3315,33.7,2.53,0.79,18622544
ダイジェット工業,東証1部,機械,機械 ,9505,360,358,315,15569,6895,3099,5265,5687,44.3,4.67,2.01,29929996
太洋基礎工業,東証JQS,建設業,建設・資材 ,9521,505,599,400,8961,6307,456,204,4409,70.4,6.55,4.57,4098000
三信建設工業,東証JQS,建設業,建設・資材 ,9561,430,520,329,9929,5831,500,500,3480,58.7,5.79,3.5,10000000
トスネット,東証JQS,サービス業,情報通信・サービスその他 ,9574,887,964,627,6797,4309,782,1106,5135,63.4,15.34,9.34,4732600
マサル,東証JQS,建設業,建設・資材 ,9598,586,579,377,7453,3392,885,854,2505,45.5,11.66,4.96,4505757
日本鋳造,東証2部,鉄鋼,鉄鋼・非鉄 ,9610,-313,-306,-825,18272,9484,2627,1271,8268,51.9,-8.31,-4.51,51351500
リヒトラブ,東証2部,その他製品,情報通信・サービスその他 ,9620,379,347,210,13069,8681,1830,1141,4174,66.4,2.45,1.6,1907850
ビューティガレージ,東証1部,卸売業,商社・卸売 ,9642,555,534,314,4144,2027,269,246,10667,48.9,16.64,8.31,5976000
ケル,東証JQS,電気機器,電機・精密 ,9671,843,853,584,14541,10964,1617,820,9075,75.4,5.44,4.15,7743000
Aiming,マザーズ,情報・通信業,情報通信・サービスその他 ,9689,-310,-349,-551,8914,6055,2929,1887,23352,67.9,-8.3,-5.91,34493500
デュアルタップ,東証JQS,不動産業,不動産 ,9697,453,345,220,5744,1380,205,3642,1885,24,19.14,4.16,1123500
グローバルダイニング,東証2部,小売業,小売 ,9755,-8,9,-80,7608,4102,1474,1616,2581,53.9,-1.92,-1.07,10081800
石川製作所,東証1部,機械,機械 ,9759,152,134,93,10646,2695,2000,3732,13468,25.3,3.6,1.05,6385972
